id,date,store_nbr,family,sales,onpromotion,year,month,week,day,dayofweek,quarter,is_weekend,is_month_start,is_month_end,dow_sin,dow_cos,month_sin,month_cos,trend,is_christmas,is_newyear,is_black_friday,city,state,type,cluster,is_holiday_national,is_holiday_regional,is_holiday_local,is_holiday,transactions,oil_price,transactions_lag_7,transactions_rollmean_7,transactions_rollstd_7,transactions_rollmean_30,transactions_rollstd_30,oil_price_lag_7,oil_price_rollmean_7,oil_price_rollstd_7,oil_price_rollmean_30,oil_price_rollstd_30,onpromotion_lag_1,onpromotion_lag_7,onpromotion_lag_14,onpromotion_lag_28,onpromotion_rollmean_7,onpromotion_rollstd_7,onpromotion_rollmean_30,onpromotion_rollstd_30,days_from_prev_holiday,days_to_next_holiday,is_day_before_holiday,is_day_after_holiday,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,sales_rollmean_7,sales_rollstd_7,sales_rollmean_30,sales_rollstd_30
2947428,2017-07-17,1,AUTOMOTIVE,2.0,0.0,2017,7,29,17,0,3,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,1658,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1739.0,46.02,1814.0,1563.7142857142858,502.65585121621945,1519.6666666666667,478.8851516864426,44.4,45.506,0.8334146626911756,44.49944444444444,1.2257073454608045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0,0,2.0,3.0,0.0,3.0,5.428571428571429,2.5071326821120445,4.4,3.102835188484318
2949210,2017-07-18,1,AUTOMOTIVE,3.0,0.0,2017,7,29,18,1,3,0,0,0,0.7818314824680297,0.6234898018587336,1.2246467991473532e-16,-1.0,1659,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1733.0,46.4,1760.0,1553.0,497.201501740824,1531.3666666666666,479.84419046856954,45.06,45.83,0.5688585061231289,44.579473684210534,1.2412022562504024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0,0,2.0,7.0,5.0,3.0,5.285714285714286,2.690370836538206,4.366666666666666,3.123695129869075
2950992,2017-07-19,1,AUTOMOTIVE,7.0,0.0,2017,7,29,19,2,3,0,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1660,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1797.0,47.1,1970.0,1549.142857142857,495.42958752023833,1569.9,445.76778785557775,45.48,46.098,0.4084360414907459,44.670500000000004,1.2748394119660666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0,0,3.0,7.0,1.0,1.0,4.714285714285714,2.690370836538205,4.4,3.102835188484318
2952774,2017-07-20,1,AUTOMOTIVE,4.0,0.0,2017,7,29,20,3,3,0,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1661,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1774.0,46.73,1679.0,1524.4285714285713,474.82272381133595,1571.5666666666666,446.54556730322736,46.06,46.422000000000004,0.4371727347269237,44.813500000000005,1.3800696969382633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0,0,7.0,9.0,5.0,1.0,4.714285714285714,2.690370836538205,4.533333333333333,3.1264536848765445
2954556,2017-07-21,1,AUTOMOTIVE,10.0,0.0,2017,7,29,21,4,3,0,0,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1662,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1878.0,45.78,1867.0,1538.0,481.29062599084966,1571.4333333333334,446.4823959408228,46.53,46.556,0.39953723229332583,44.983,1.3976374802866551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0,0,4.0,4.0,4.0,10.0,4.0,1.914854215512686,4.566666666666666,3.1148513368336976
2956338,2017-07-22,1,AUTOMOTIVE,8.0,0.0,2017,7,29,22,5,3,1,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1663,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1333.0,,1338.0,1539.5714285714287,482.56013688895086,1572.6666666666667,447.3030549733659,,46.406,0.5309237233243751,45.148,1.276098494790788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1,0,10.0,6.0,6.0,12.0,4.857142857142857,2.968084198523326,4.866666666666666,3.1919438822019406
2958120,2017-07-23,1,AUTOMOTIVE,0.0,0.0,2017,7,29,23,6,3,1,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1664,0,0,0,Quito,Pichincha,D,13,0,0,0,0,547.0,,518.0,1538.857142857143,482.91180304876247,1559.1333333333334,448.2379089150157,,46.406,0.5309237233243751,45.28578947368421,1.148077212793298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,2.0,2.0,4.0,5.142857142857143,3.1847852585154293,5.1,3.155181835297779
2959902,2017-07-24,1,AUTOMOTIVE,4.0,0.0,2017,7,30,24,0,3,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,1665,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1807.0,46.21,1739.0,1543.0,472.71097582631177,1515.9333333333334,481.17836203631805,46.02,46.406,0.5309237233243751,45.42055555555556,1.0150078076832179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,3.0,3.0,4.857142857142857,3.5790395093549683,4.766666666666667,3.1478874507038546
2961684,2017-07-25,1,AUTOMOTIVE,10.0,0.0,2017,7,30,25,1,3,0,0,0,0.7818314824680297,0.6234898018587336,1.2246467991473532e-16,-1.0,1666,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1785.0,47.77,1733.0,1552.7142857142858,478.0783458408277,1532.8666666666666,482.21841762716883,46.4,46.444,0.5024241236133238,45.462105263157895,1.002899014225303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,7.0,4.0,5.142857142857143,3.387652649872847,4.5,2.837556014941555
2963466,2017-07-26,1,AUTOMOTIVE,2.0,0.0,2017,7,30,26,2,3,0,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1667,0,0,0,Quito,Pichincha,D,13,0,0,0,0,1903.0,48.58,1797.0,1560.142857142857,481.73659073931697,1575.1333333333334,444.176707095765,47.1,46.718,0.7730911977177094,45.5775,1.104168536900532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0,1,10.0,7.0,7.0,2.0,6.142857142857143,3.670993118515824,4.7,3.0074619841665258
